M,N,z_open,final_cpnl,sharpe_ratio,total_signals,max_position
4,4,0.2,-2.503238580030628,-1.100147843380702,14584,4.0
4,4,0.4,-2.1299005578445973,-0.9954254388495913,12969,4.0
4,4,0.6,-2.2534539606308206,-1.1371434723751936,11103,4.0
4,4,0.8,-2.432589115084048,-1.3879860642589879,9121,4.0
4,4,1.0,-1.848083131418602,-1.2454721570616962,6910,4.0
4,8,0.2,-0.2684277976318905,-0.08459728625001178,14584,8.0
4,8,0.4,0.13267088384131387,0.04403704024021107,12969,8.0
4,8,0.6,-0.3371782913644712,-0.1211693243146668,11103,8.0
4,8,0.8,-1.125871883498016,-0.4569295905106277,9121,8.0
4,8,1.0,-0.8228161813547287,-0.39715973785173936,6910,8.0
4,12,0.2,0.2565222918061847,0.06429091843616892,14584,12.0
4,12,0.4,0.6792961664954102,0.1794368401121607,12969,12.0
4,12,0.6,0.2620273781011566,0.07523687097404043,11103,12.0
4,12,0.8,-0.695034369076255,-0.22811284288720773,9121,12.0
4,12,1.0,-0.9986705166101002,-0.3936620620252015,6910,11.0
4,16,0.2,1.1480626063562474,0.24366768223432542,14584,16.0
4,16,0.4,1.4370319435007233,0.3204335572626605,12969,15.0
4,16,0.6,1.053960323138406,0.25740963093494096,11103,15.0
4,16,0.8,-0.6872244822788249,-0.19015167713178033,9121,13.0
4,16,1.0,-0.9875178390564717,-0.3301396217372848,6910,12.0
4,20,0.2,2.134375819178672,0.4153371729804363,14584,19.0
4,20,0.4,2.202564782964794,0.4463445428758599,12969,19.0
4,20,0.6,2.0754859077198287,0.45994448961715423,11103,18.0
4,20,0.8,0.7957896298968825,0.1977050198739886,9121,14.0
4,20,1.0,-0.1336585712090781,-0.039953358292376985,6910,12.0
4,24,0.2,-1.8098485267666178,-0.31657957625025446,14584,21.0
4,24,0.4,-1.7009420207144625,-0.30908556674424637,12969,21.0
4,24,0.6,-1.1478909191363091,-0.2268777591544597,11103,20.0
4,24,0.8,-2.445277061453557,-0.5448190032619807,9121,16.0
4,24,1.0,-2.6963029345507294,-0.7181474337178958,6910,13.0
4,28,0.2,-0.11727841230467007,-0.019391874357977658,14584,23.0
4,28,0.4,-0.1081629977687334,-0.018672099143581356,12969,22.0
4,28,0.6,0.2404860201747836,0.04452667940911265,11103,21.0
4,28,0.8,-1.7340119170692374,-0.36444974531334784,9121,17.0
4,28,1.0,-2.904429564080564,-0.7273014432871515,6910,14.0
4,32,0.2,0.9379813623204848,0.14504147037662832,14584,25.0
4,32,0.4,0.9139232723260056,0.14883630494760602,12969,22.0
4,32,0.6,0.3736424462655902,0.06502159040143493,11103,21.0
4,32,0.8,-1.5727374005714592,-0.31201234834846164,9121,18.0
4,32,1.0,-2.6205670512093464,-0.6168225799271723,6910,16.0
4,36,0.2,3.2804410442212264,0.47726340454058747,14584,25.0
4,36,0.4,2.5910246899052636,0.3987592081022514,12969,24.0
4,36,0.6,2.76789416898509,0.4538320341744172,11103,23.0
4,36,0.8,0.8860471181504533,0.16654816601469868,9121,20.0
4,36,1.0,-0.806516369118505,-0.18089683570655607,6910,17.0
4,40,0.2,1.969278287434832,0.270413280810177,14584,26.0
4,40,0.4,2.305962236445397,0.3349220724272137,12969,25.0
4,40,0.6,2.446110502136381,0.37962140007434764,11103,23.0
4,40,0.8,0.12933442897431613,0.023114815965031992,9121,21.0
4,40,1.0,-1.3449129330606822,-0.28740545123297373,6910,18.0
4,44,0.2,7.308475810782798,0.9498892898336592,14584,28.0
4,44,0.4,6.603580719966365,0.9054048252831679,12969,25.0
4,44,0.6,6.107610625606171,0.8984713289293135,11103,25.0
4,44,0.8,3.74941915661009,0.6350985058492215,9121,22.0
4,44,1.0,1.5221716863908394,0.3099231347059377,6910,19.0
4,48,0.2,6.810825842906514,0.8407807332287871,14584,30.0
4,48,0.4,6.260788628972273,0.8153616000841419,12969,27.0
4,48,0.6,5.489041810611642,0.7670076948631993,11103,25.0
4,48,0.8,2.8816963198713257,0.4641483335957759,9121,23.0
4,48,1.0,1.198536647703221,0.23489363633302748,6910,19.0
4,52,0.2,6.195722928347987,0.732719308749606,14584,34.0
4,52,0.4,5.926469552649729,0.738594361527031,12969,31.0
4,52,0.6,5.660880239826923,0.760771040340148,11103,29.0
4,52,0.8,3.0566469889986063,0.47359195021891237,9121,27.0
4,52,1.0,1.937997544543301,0.36696848732863235,6910,20.0
4,56,0.2,7.526474687299821,0.8485189251886981,14584,36.0
4,56,0.4,7.666855672271322,0.9153361733760671,12969,32.0
4,56,0.6,7.430335725783105,0.9549133931199023,11103,30.0
4,56,0.8,5.140392492223977,0.7606156797194599,9121,28.0
4,56,1.0,3.1728826540344364,0.5738381220213106,6910,20.0
4,60,0.2,10.007763125953462,1.0907968610348713,14584,37.0
4,60,0.4,10.035411970704917,1.159663989738732,12969,33.0
4,60,0.6,9.462826155542727,1.1768578477359346,11103,31.0
4,60,0.8,6.552412707699558,0.9390059027877862,9121,27.0
4,60,1.0,3.412905660401759,0.595309215728363,6910,20.0
4,64,0.2,9.49640700612003,1.003337616947288,14584,39.0
4,64,0.4,9.471562719484684,1.059006839158947,12969,34.0
4,64,0.6,9.442605327890702,1.1337624018669334,11103,32.0
4,64,0.8,6.723150322363263,0.9315120131890677,9121,28.0
4,64,1.0,2.9462909129175197,0.49601527677819746,6910,20.0
4,68,0.2,9.200117457858212,0.9397390983447587,14584,36.0
4,68,0.4,9.396333610083317,1.0133061982843958,12969,32.0
4,68,0.6,8.704640706093542,1.0097546535436885,11103,31.0
4,68,0.8,6.110329711002658,0.817575204428311,9121,27.0
4,68,1.0,3.083755113705954,0.5017156665756686,6910,20.0
4,72,0.2,7.8268765831322025,0.7777087660629387,14584,38.0
4,72,0.4,7.998852667393937,0.8360199957046289,12969,33.0
4,72,0.6,7.566092537134425,0.851618352819756,11103,32.0
4,72,0.8,5.515892314856498,0.7149684391719768,9121,27.0
4,72,1.0,3.062128133145432,0.48347509116648746,6910,21.0
4,76,0.2,6.275382973276619,0.6097879216706746,14584,40.0
4,76,0.4,6.023563380868646,0.6185163355064942,12969,34.0
4,76,0.6,4.881841074684582,0.5407744433925911,11103,33.0
4,76,0.8,3.2079360484710246,0.40807088017185417,9121,28.0
4,76,1.0,0.78431678141518,0.12063735997197728,6910,22.0
4,80,0.2,5.689407827075775,0.5402862503406017,14584,38.0
4,80,0.4,6.066142633691543,0.6104725758584687,12969,32.0
4,80,0.6,4.577037771921825,0.4963441527120325,11103,32.0
4,80,0.8,3.767646631570737,0.46847396374618044,9121,27.0
4,80,1.0,1.2493485017446033,0.18735128154382952,6910,23.0
4,84,0.2,7.069503009200641,0.6557622675698987,14584,35.0
4,84,0.4,7.546516955058054,0.7422807266661697,12969,31.0
4,84,0.6,6.311889131999385,0.666605709308203,11103,32.0
4,84,0.8,4.842732372599961,0.5841507909146597,9121,27.0
4,84,1.0,1.8478677345555432,0.26834596976234815,6910,23.0
4,88,0.2,7.499084651202017,0.6744152850310058,14584,39.0
